w,x,y,z
0.863152862,0.233771592,-0.428824246,0.13,1511591999557.55
0.842800617,0.295101047,-0.418686926,0.17,1511591999607.35
0.809369266,0.369324178,-0.404667288,0.21,1511591999657.70
0.778730989,0.422029346,-0.393984407,0.25,1511591999703.86
0.732303441,0.488438129,-0.378055602,0.29,1511591999757.94
0.686418951,0.544180334,-0.360018969,0.32,1511591999806.39
0.651559889,0.579273939,-0.347806454,0.34,1511591999857.65
0.614109099,0.613880098,-0.333921671,0.37,1511591999908.89
0.585528791,0.637960613,-0.323280305,0.38,1511591999955.80
0.562348962,0.656232238,-0.314068526,0.39,1511592000005.88
0.551689863,0.664545,-0.309680104,0.4,1511592000055.83
0.546647847,0.66791147,-0.307839841,0.4,1511592000107.51
0.545877039,0.668809175,-0.306689352,0.4,1511592000157.64
0.546889782,0.668292761,-0.3069956,0.4,1511592000203.18
0.547949553,0.6675179,-0.307857662,0.4,1511592000255.29
0.549025714,0.667046368,-0.308348179,0.4,1511592000307.65
0.54955107,0.666950405,-0.308207005,0.4,1511592000341.57
0.550216198,0.666534066,-0.307856351,0.4,1511592000374.55
0.552597761,0.664708197,-0.308657765,0.4,1511592000425.85
0.554335296,0.663725376,-0.309126437,0.4,1511592000458.03
0.558113575,0.660814106,-0.31086719,0.39,1511592000490.58
0.567310274,0.653075933,-0.316015571,0.39,1511592000525.63
0.584113181,0.637705088,-0.326271802,0.38,1511592000555.66
0.629325688,0.594133496,-0.351173878,0.36,1511592000605.31
0.679136813,0.538694084,-0.379563481,0.32,1511592000657.96
0.748436511,0.446778387,-0.41370523,0.26,1511592000703.61
0.795466959,0.364909977,-0.43595767,0.21,1511592000757.82
0.841934383,0.248818025,-0.457477689,0.14,1511592000807.73
0.869031429,0.127536491,-0.472693145,0.07,1511592000858.46
0.876437068,0.040814225,-0.47937721,0.02,1511592000904.83
0.874685407,-0.049111877,-0.480916888,-0.04,1511592000957.55
0.864923537,-0.13262561,-0.476057291,-0.09,1511592001010.65
0.852486432,-0.199200436,-0.466821581,-0.13,1511592001057.35
0.836701632,-0.257884085,-0.456122011,-0.16,1511592001107.75
0.81137985,-0.322581857,-0.444316596,-0.2,1511592001160.58
0.788980663,-0.370516151,-0.433420271,-0.23,1511592001205.89
0.767278492,-0.415732175,-0.420950472,-0.25,1511592001260.87
0.746495247,-0.454029649,-0.410476685,-0.26,1511592001310.98
0.735372961,-0.471670747,-0.405528843,-0.27,1511592001359.17
0.728634357,-0.482610136,-0.400130898,-0.28,1511592001407.11
0.727046072,-0.486212432,-0.397317678,-0.28,1511592001457.87
0.727944851,-0.486069262,-0.396383554,-0.28,1511592001509.55
0.729821563,-0.484316409,-0.39691624,-0.27,1511592001560.67
0.730478048,-0.483254373,-0.397517622,-0.27,1511592001607.63
0.730481029,-0.483339518,-0.39764756,-0.27,1511592001641.49
0.729957163,-0.4841232,-0.397543103,-0.27,1511592001691.07
0.729581833,-0.484893173,-0.397023022,-0.27,1511592001723.79
0.729375303,-0.485386223,-0.396830738,-0.27,1511592001760.22
0.729781866,-0.485184699,-0.396535516,-0.27,1511592001790.72
0.731049299,-0.483870864,-0.39642027,-0.27,1511592001826.47
0.734023511,-0.480656296,-0.39672336,-0.27,1511592001857.46
0.740945518,-0.471498132,-0.399096727,-0.26,1511592001890.81
0.754285574,-0.452771038,-0.40369153,-0.25,1511592001924.14
0.770050287,-0.429262549,-0.409032851,-0.24,1511592001957.47
0.788978577,-0.395490527,-0.416443437,-0.22,1511592001990.87
0.822591901,-0.327296227,-0.426142395,-0.19,1511592002041.01
0.849633098,-0.258512974,-0.433876842,-0.15,1511592002088.98
0.874985278,-0.170767903,-0.440177977,-0.11,1511592002141.36
0.887807488,-0.101260766,-0.443228662,-0.07,1511592002179.01
0.895822048,-0.014341573,-0.44361949,-0.02,1511592002238.54
0.894860029,0.050295487,-0.443172455,0.02,1511592002287.05
0.886871696,0.123789586,-0.440614492,0.06,1511592002339.67
0.870142102,0.20176281,-0.435409606,0.11,1511592002392.14
0.845312536,0.277780741,-0.427734345,0.16,1511592002443.68
0.809994876,0.359146595,-0.413943321,0.21,1511592002494.89
0.779175401,0.415719241,-0.401921004,0.24,1511592002542.62
0.746540666,0.465850592,-0.390215725,0.27,1511592002591.47
0.71266824,0.510915518,-0.377959251,0.3,1511592002644.24
0.687372684,0.539894462,-0.368283272,0.32,1511592002689.00
0.663912237,0.564154267,-0.358580321,0.34,1511592002737.78
0.648503006,0.579431534,-0.351383209,0.35,1511592002792.61
0.642352879,0.585150361,-0.348724246,0.35,1511592002843.81
0.641119778,0.586882949,-0.348037481,0.35,1511592002893.96
0.642053306,0.585909009,-0.348974317,0.35,1511592002944.10
0.642781317,0.585355401,-0.350207776,0.35,1511592002991.86
0.642658293,0.585788667,-0.350708276,0.35,1511592003044.07
0.642341137,0.586262643,-0.350707948,0.35,1511592003074.55
0.641604364,0.587150097,-0.350040108,0.35,1511592003110.36
0.640458703,0.588535488,-0.3492634,0.35,1511592003162.40
